Date,Steps,Calories_Burned,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
2024-09-24,13452,261.09554860325375,0.5108488895511718,0.23715821984454033,0.8602527779022424,0.8197251876058413,0.862093595282326,0.6923038660635634
2024-09-25,9771,407.9283072379407,0.9345128035714463,0.12426994781246858,0.28971118816839714,0.6238981033488291,0.7497848472796889,0.2849268667357414
2024-09-26,4401,540.7240839954461,0.11292843714073209,0.6826646183298425,0.45832433481382095,0.41046515713718745,0.7112059834869588,0.7984509180622102
2024-09-27,6364,566.153094572646,0.17381232877932595,0.12855479739093056,0.44958510808888863,0.9427467546266032,0.7137536992156769,0.29407163376360557
2024-09-28,13288,342.0785339540322,0.5375435908269016,0.3893597541366597,0.860895869713296,0.35686594104253366,0.6421201583195861,0.5603894936225848
2024-09-29,9282,286.47794826297894,0.8263007072432577,0.5542980706550593,0.3795659061037995,0.3300574631598725,0.3941036186999787,0.2930719874458655
2024-09-30,5827,172.59893234423612,0.9468624155651901,0.3046279814225965,0.46483262355622845,0.8003893673994928,0.9589480907046289,0.31291602283394504
2024-10-01,10886,352.5319503180202,0.7895960318734626,0.9745489066427584,0.4574527166514807,0.14431980681997103,0.2539380730919142,0.5889283238329379
2024-10-02,6874,334.1088624514896,0.23891704170600803,0.18212933389325336,0.8806289343920496,0.9714504031438878,0.06636875430382272,0.981164407611714
2024-10-03,11632,152.42680776446173,0.26621208842408695,0.5847706234349506,0.9505624942831647,0.1703283114473213,0.38799599428790144,0.4256745146928067
2024-10-04,13757,376.4834523719706,0.9985236850897771,0.7745092356584855,0.8983029991101535,0.45788340951296236,0.47477924855245934,0.5647131664797095
2024-10-05,14484,265.6707182536351,0.5404004508191986,0.003110761304241816,0.8856181906732408,0.05222149540685528,0.9851657047199288,0.016137778943952963
2024-10-06,6163,379.89025295875604,0.3513450507720992,0.9480537706643365,0.7176265557465551,0.26782422132507777,0.8095156545338439,0.24597324880677296
2024-10-07,5696,404.6756735185305,0.24673538484133561,0.12791596278900197,0.9510276570388333,0.7702390951907732,0.10290193250423285,0.4133086417682672
2024-10-08,6471,549.3795782500353,0.0018924085902278787,0.621277819185287,0.35317825479595255,0.9996776270355062,0.44253599799615473,0.19566354964660293
2024-10-09,5138,388.74162037179894,0.549923086230746,0.9974202587508221,0.5951339368134564,0.2486814387355737,0.021746195360190845,0.262515489619804
2024-10-10,7454,212.10052816301084,0.2437150635646228,0.827576218112287,0.5946350209210998,0.43168970021039577,0.7248111558219161,0.5015968296623505
2024-10-11,12081,320.07749222111306,0.5787092369065193,0.7459974000462074,0.7599823397778863,0.030541297007055435,0.9874785295072205,0.4790673479925974
2024-10-12,12092,246.1897443109707,0.4865852767968831,0.046248673997232426,0.8189517579789178,0.7683244466430615,0.2270793098998467,0.8420227621835696
2024-10-13,8620,204.67331909554883,0.5214513479075411,0.3234238164846369,0.3544639400049533,0.6166434424649174,0.6014069128813914,0.30513266819884466
2024-10-14,1114,196.1402397637573,0.3397796583415279,0.500616252876251,0.3808949010326843,0.8198114269739104,0.6867762296332006,0.05850168164213476
2024-10-15,2016,276.3887606052481,0.8134774417861353,0.8312043867324017,0.11999912063882368,0.8013365319340667,0.8555371177018869,0.622160994988255
2024-10-16,9614,536.2266861941202,0.33696211555806876,0.9788837765231064,0.6905842620203944,0.9377686516668979,0.4086682951934877,0.16168919639935742
2024-10-17,9638,236.71412243280884,0.7045962165539266,0.13622961184587135,0.1858094317342126,0.4770042105811385,0.6858642884423146,0.6939585399540831
2024-10-18,2558,286.41620230166666,0.25093574575342803,0.2645573690570213,0.4789965501352603,0.1673361259491336,0.7320942772834644,0.5741589699927614
2024-10-19,11460,513.0695823092951,0.5016261224510192,0.679558444693755,0.7929733228545383,0.7220425881773576,0.6827679873090926,0.3580771277021253
2024-10-20,8000,202.5067065845748,0.3386111923241434,0.8583420252518599,0.9326822066964323,0.561399385819323,0.34765386109289953,0.8265978670498776
2024-10-21,9932,532.5392728064492,0.30257398163710925,0.6315678588946588,0.840880810620022,0.2785609023465634,0.6019474711443079,0.12296203920651216
2024-10-22,4639,333.56229840484207,0.4367353433230202,0.1493570681056967,0.1574464198835518,0.6049170487219001,0.6837506857531991,0.8804752766696478
2024-10-23,13664,578.8459561289062,0.23735256605160804,0.017665916205740873,0.18177073652558629,0.22722285717620194,0.46386441601591843,0.453223493642139
2024-10-24,8220,583.6328837212137,0.792042311422917,0.6784141871073173,0.841267338255806,0.38145445400575184,0.0794580492507897,0.048123937484936596
2024-10-25,14693,461.8866704888562,0.4075627950221281,0.6767043680619556,0.20502050764364388,0.7597655961770575,0.6491268970857343,0.3933700217003133
2024-10-26,13070,190.94142340980275,0.4234417468974092,0.2816887736429744,0.9420327263362813,0.843918878234052,0.4420070095330145,0.8792653442817471
